   index  lev     parent      ncell             peak_x             peak_y             peak_z               rho-               rho+             rho_av            mass_cl          relevance   MLADEN
    1655    0       1655         55    2.163445919E-01    4.033203125E-01    6.029169716E-01    8.255018114E+01    2.741059041E+03    3.138811042E+02    1.941035065E-04    3.426323802E+01   mladen
    1660    0       1660         53    3.974327809E-01    3.505645686E-01    5.301204664E-01    8.291111247E+01    2.409748025E+03    3.983749226E+02    1.780874681E-04    3.012185031E+01   mladen
    1670    0       1609          5    4.681249571E-01    4.428344343E-01    9.829101562E-01    9.758948600E+01    2.109173947E+03    3.552399593E+02    8.601917831E-06    4.890289049E+00   mladen
    1679    0       1679         42    2.471903562E-01    4.062499980E-01    6.399961548E-01    8.075389139E+01    1.735175347E+03    3.147290467E+02    1.149007923E-04    2.168969184E+01   mladen
    1718    0       1718         13    3.226916722E-01    3.378906250E-01    8.789062460E-01    8.234499826E+01    4.467876476E+02    1.489471153E+02    1.154132187E-04    5.584845595E+00   mladen
    1778    0       1778         22    3.223182017E-01    3.850359419E-01    6.310910185E-01    8.248057590E+01    2.655510716E+02    1.380090114E+02    1.809715182E-04    3.319388395E+00   mladen
    1791    0       1791         20    4.726562460E-01    4.472656250E-01    9.522286694E-01    8.015302483E+01    2.427402333E+02    1.336732819E+02    1.593509697E-04    3.034252916E+00   mladen
    1900    0       1900       1929    3.933585181E-01    5.706816277E-01    6.665039058E-01    8.002674392E+01    1.357311161E+05    4.723790986E+02    2.977000841E-03    3.114147011E+01   mladen
    1905    0       1905        419    2.142407221E-02    5.322265615E-01    6.499617263E-01    8.016935785E+01    2.655325870E+04    3.884084596E+02    8.276464004E-04    3.443344034E+01   mladen
    1907    0       1907        428    1.469726562E-01    7.177131897E-01    6.181640615E-01    8.062111266E+01    2.046158773E+04    3.493880511E+02    8.043714448E-04    2.075514930E+02   mladen
    1909    0       1909        540    5.115256842E-02    6.430664062E-01    6.601562510E-01    8.055018027E+01    1.683307633E+04    3.730171614E+02    1.182199828E-03    2.104134541E+02   mladen
    1910    0       1900        251    4.003906240E-01    5.708701629E-01    6.716012032E-01    8.101277717E+01    1.672148587E+04    3.656958385E+02    4.669362629E-04    3.836494293E+00   mladen
    1944    0       1944        145    4.482421875E-01    6.035156230E-01    5.305968513E-01    8.011233758E+01    3.467480704E+03    2.062048336E+02    5.669115751E-04    4.334350880E+01   mladen
    1947    0       1947        101    3.457031230E-01    5.364215068E-01    6.209299050E-01    8.008983066E+01    3.376126380E+03    2.567724540E+02    3.539242148E-04    4.220157975E+01   mladen
    1959    0       1959         85    4.365092706E-01    6.015625020E-01    5.885921828E-01    8.211058405E+01    2.940668232E+03    3.432613053E+02    2.889970503E-04    3.675835290E+01   mladen
    1961    0       1961        172    1.907399088E-01    7.158203125E-01    6.445312480E-01    8.042095210E+01    2.830321623E+03    3.825344089E+02    5.500699648E-04    3.537902029E+01   mladen
    1966    0       1966        102    1.992187480E-01    2.568359375E-01    5.408982567E-01    8.122481229E+01    2.716530194E+03    2.916295891E+02    3.280942735E-04    1.583350713E+01   mladen
    1969    0       1905         11    1.855667331E-02    5.277226084E-01    6.498915203E-01    1.071883312E+02    2.571676492E+03    2.494539978E+02    1.556558334E-05    3.334870121E+00   mladen
    1982    0       1900         21    3.928252454E-01    5.751953135E-01    6.709062339E-01    8.729033942E+01    1.909007482E+03    2.268232590E+02    3.253182571E-05    5.229182123E+00   mladen
    1988    0       1900          7    3.871896210E-01    5.737303007E-01    6.713867188E-01    1.404001911E+02    1.589369537E+03    3.171854680E+02    8.271255628E-06    4.701716899E+00   mladen
    1995    0       1900         13    4.003859378E-01    5.688476562E-01    6.609365417E-01    1.422323628E+02    1.228783126E+03    3.418382154E+02    8.595764466E-06    3.964811485E+00   mladen
    2061    0       2061         15    2.336554943E-01    2.636718750E-01    7.498805752E-01    8.111719477E+01    4.039604785E+02    1.680917718E+02    1.502857552E-04    5.049505981E+00   mladen
    2066    0       2066          4    4.101562460E-01    7.483103128E-01    6.195527936E-01    8.125415060E+01    3.983348622E+02    2.103223653E+02    5.014475948E-05    4.979185777E+00   mladen
    2082    0       2082         17    2.129154601E-01    5.070446963E-01    5.958033339E-01    8.153452790E+01    3.809312265E+02    1.471323528E+02    1.490861176E-04    4.761640331E+00   mladen
    2140    0       2140         19    4.162742627E-01    6.002289364E-01    6.745408709E-01    8.108467908E+01    2.994847499E+02    1.389081322E+02    1.573118277E-04    3.743559373E+00   mladen
    2293    0       2293       2373    4.284667969E-01    6.267089844E-01    6.455078120E-01    8.004526949E+01    9.274932039E+04    3.357349890E+02    4.509904994E-03    2.503853476E+02   mladen
    2294    1       2293       1533    4.279074043E-01    6.544923998E-01    6.662597656E-01    8.019112149E+01    9.025109167E+04    3.584114356E+02    2.340081492E-03    1.381749477E+02   mladen
    2304    0       2304        929    3.370303594E-01    5.735103759E-01    6.665036385E-01    8.033011264E+01    2.544494943E+04    3.858373149E+02    2.071948683E-03    5.386652548E+01   mladen
    2308    0       2308        384    2.544619092E-01    5.434570312E-01    6.472259330E-01    8.000596019E+01    1.908577634E+04    3.421549245E+02    6.465542520E-04    1.859245600E+02   mladen
