x                y                z              
 2.04409332E+01  2.37471180E+01 -5.33496439E-01
 2.57158995E+00  3.64145851E+00 -5.26732624E-01
 1.22262306E+01 -9.10131836E+00  9.71065909E-02
 2.94680858E+00  5.07310581E+00 -3.66055489E-01
-1.24448609E+00  3.13480759E+00 -2.02930227E-01
 4.31505299E+00  1.01433525E+01  1.09968841E-01
 4.96034384E+00 -5.34771299E+00 -2.43155539E-01
-4.63732243E+00  3.61846566E+00  7.20988214E-02
-4.19282389E+00  1.27333355E+01  1.13403499E-01
-5.14500141E+00 -2.35212231E+00  8.49163979E-02
 6.86578979E+01  4.34420166E+01 -9.17082950E-02
-3.06632757E+00 -2.11174893E+00  7.16874719E-01
 4.09882021E+00  3.18730879E+00  1.90755054E-01
 7.87650347E-01  7.60843801E+00  3.00267994E-01
-2.00585022E+01  4.92007017E+00  3.13803405E-02
-5.77864695E+00  3.12014008E+01  2.19676614E-01
 2.54535198E+00  2.63590240E+00  1.26617327E-01
 1.25677109E+00  1.79714292E-01 -3.19707125E-01
 5.24937101E-02  5.77055025E+00  1.20936804E-01
-1.37679482E+00  2.68102551E+00  4.24605876E-01
-1.45453930E+00  1.51464745E-01 -4.42226052E-01
 5.82691193E+00  4.14759111E+00 -1.47791117E-01
 1.27581739E+00  1.74310863E+00  7.10217580E-02
-2.32850409E+00 -6.66349840E+00 -7.63793290E-01
-9.00287437E+00  5.54584599E+00  4.80073802E-02
-2.24198723E+00  1.01396465E+00  4.36841756E-01
 3.08430433E+00 -3.00752401E+00  1.04413241E-01
-2.80883961E+01  4.37166154E-01 -1.61035448E-01
-2.46784668E+01 -2.84795914E+01 -6.77052736E-01
 2.47362757E+00 -8.54084432E-01 -5.20432256E-02
-4.79397011E+00 -1.82631361E+00 -3.64931196E-01
 6.78450489E+00 -2.52136207E+00 -8.08085036E-03
 8.58521366E+00 -2.15614963E+00 -5.82718216E-02
-1.36353195E+00 -6.59402370E-01  1.83082178E-01
 3.23571384E-01  2.72717261E+00  1.69405190E-03
-2.70869493E+00  1.67326188E+00  1.10024184E-01
 1.09313406E-01  3.97484255E+00 -5.77740893E-02
-2.91841984E+00  1.09017408E+00  8.01678523E-02
 1.74075603E+00 -4.18532801E+00  2.57978179E-02
-2.35173111E+01 -1.03307266E+01  8.67981687E-02
 8.71837974E-01  3.14491391E+00  1.67496677E-03
-2.94405556E+00  4.45950890E+00  6.58293962E-01
 1.04338408E+00 -4.86707306E+00  4.90876101E-02
 7.15667820E+00  1.25698447E+00  1.94607243E-01
 1.77595711E+01 -1.03869658E+01 -7.94103742E-01
 4.30867910E-01 -6.07406378E-01 -6.95550395E-03
 2.22708046E-01  6.98875844E-01  4.35408205E-01
 2.42770314E+00  1.81512375E+01  1.47221521E-01
-1.48479652E+00  5.15981615E-02 -4.74783540E-01
 6.46619892E+00 -5.93724346E+00  3.23309116E-02
 2.84829080E-01  4.02210999E+01  1.37817562E-01
 9.42578983E+00 -1.27324355E+00 -1.24572687E-01
 4.25581980E+00 -6.26257479E-01  1.85675137E-02
-5.10987699E-01  1.25074100E+00  1.53604746E-01
-8.16523075E+00 -3.78410488E-01  1.22073807E-01
 2.44914103E+00  2.15331650E+01 -4.71161127E-01
 6.20267057E+00  2.08563566E+00  4.42526698E-01
 1.76245022E+00 -2.43314934E+00  1.53754979E-01
 2.85098438E+01  3.75040283E+01  3.69845815E-02
